id,subject,base_verb,object,landmark_verb,score,hilo
1,table,draw,eye,depict,1,LOW
1,table,draw,eye,attract,7,HIGH
1,system,meet,criterion,visit,5,HIGH
1,system,meet,criterion,satisfy,6,HIGH
1,system,meet,requirement,visit,6,LOW
1,system,meet,requirement,satisfy,6,HIGH
1,system,provide,facility,supply,7,HIGH
1,system,provide,facility,leave,4,LOW
1,system,run,application,operate,5,HIGH
1,system,run,application,move,3,LOW
1,woman,draw,hair,depict,5,LOW
1,woman,draw,hair,attract,6,LOW
1,magazine,accept,liability,bear,2,HIGH
1,machine,run,program,operate,7,HIGH
1,machine,run,program,move,1,LOW
1,lawyer,accept,conviction,receive,2,LOW
1,lawyer,accept,conviction,bear,5,LOW
1,justice,try,king,test,3,HIGH
1,justice,try,king,judge,7,LOW
1,judge,try,action,test,3,HIGH
1,male,draw,female,attract,4,HIGH
1,magazine,accept,liability,receive,2,LOW
1,teacher,write,book,spell,2,LOW
1,user,run,application,operate,7,HIGH
1,scholar,write,book,publish,1,HIGH
1,people,try,program,test,3,HIGH
1,people,try,sniffing,judge,5,LOW
1,runway,run,parallel,operate,1,LOW
1,people,say,success,state,7,HIGH
1,people,try,door,judge,2,LOW
1,people,try,door,test,2,HIGH
1,people,try,program,judge,5,LOW
1,people,run,round,operate,5,LOW
1,people,say,prayer,allege,1,LOW
1,people,say,prayer,state,7,LOW
1,people,say,success,allege,2,HIGH
1,government,accept,recommendation,receive,2,HIGH
1,government,provide,cash,leave,1,LOW
1,government,provide,cash,supply,7,HIGH
1,investor,buy,share,bribe,1,LOW
1,firm,buy,politician,purchase,3,LOW
1,government,accept,proposal,bear,2,LOW
1,government,accept,proposal,receive,4,HIGH
1,government,accept,recommendation,bear,2,LOW
1,road,run,parallel,move,1,LOW
1,writer,write,book,publish,1,HIGH
1,investor,buy,share,purchase,7,HIGH
1,judge,try,action,judge,7,HIGH
1,river,meet,sea,visit,2,LOW
1,runway,run,parallel,move,1,LOW
1,school,provide,education,leave,1,LOW
1,road,run,parallel,operate,1,LOW
1,tribunal,try,crime,judge,7,HIGH
1,priest,say,prayer,allege,1,LOW
1,priest,say,mass,state,7,LOW
1,priest,say,mass,allege,1,LOW
1,poll,show,support,picture,4,LOW
1,poll,show,support,express,7,HIGH
1,politician,buy,election,purchase,5,LOW
1,politician,buy,election,bribe,2,HIGH
1,people,write,letter,spell,5,HIGH
1,people,write,letter,publish,1,HIGH
1,people,try,sniffing,test,7,LOW
1,member,accept,share,bear,4,LOW
1,map,show,location,picture,7,HIGH
1,weapon,buy,chance,purchase,1,LOW
1,user,accept,responsibility,receive,2,LOW
1,user,write,word,spell,4,HIGH
1,user,write,word,publish,1,LOW
1,user,write,software,spell,2,LOW
1,user,write,software,publish,1,HIGH
1,man,write,song,publish,1,LOW
1,man,try,experiment,test,5,HIGH
1,management,accept,responsibility,bear,5,HIGH
1,man,write,song,spell,3,LOW
1,map,show,area,express,6,LOW
1,management,accept,responsibility,receive,2,LOW
1,map,show,location,express,7,LOW
1,map,show,area,picture,7,HIGH
1,claimant,draw,benefit,attract,1,HIGH
1,cinema,show,film,picture,6,HIGH
1,teacher,write,book,publish,1,LOW
1,child,show,sign,express,3,LOW
1,child,show,interest,picture,2,LOW
1,child,show,interest,express,6,HIGH
1,child,meet,house,visit,6,HIGH
1,cinema,show,film,express,2,LOW
1,child,write,word,spell,5,HIGH
1,child,write,word,publish,2,LOW
1,child,show,sign,picture,2,HIGH
1,people,buy,product,bribe,1,LOW
1,people,buy,house,purchase,7,HIGH
1,people,buy,house,bribe,1,LOW
1,patient,draw,figure,depict,6,HIGH
1,people,run,company,move,1,LOW
1,people,buy,security,purchase,7,LOW
1,people,buy,security,bribe,2,HIGH
1,people,buy,product,purchase,7,HIGH
1,people,run,round,move,5,HIGH
1,people,run,company,operate,7,HIGH
1,representative,meet,official,visit,4,HIGH
1,river,meet,sea,satisfy,1,LOW
1,tribunal,try,crime,test,5,LOW
1,producer,say,favour,state,7,LOW
1,proposal,draw,criticism,attract,7,HIGH
1,priest,say,prayer,state,7,LOW
1,producer,say,favour,allege,1,HIGH
1,report,draw,attention,depict,1,LOW
1,representative,meet,official,satisfy,1,LOW
1,proposal,draw,criticism,depict,1,LOW
1,report,draw,attention,attract,7,HIGH
1,man,say,success,state,7,HIGH
1,man,try,experiment,judge,3,LOW
1,man,say,sentence,state,7,HIGH
1,man,say,success,allege,3,HIGH
1,man,provide,money,supply,7,HIGH
1,man,say,sentence,allege,1,LOW
1,man,draw,sword,depict,6,LOW
1,man,provide,money,leave,4,HIGH
1,male,draw,female,depict,7,LOW
1,man,draw,sword,attract,1,LOW
1,user,accept,responsibility,bear,6,HIGH
1,member,accept,share,receive,4,HIGH
1,model,buy,behaviour,bribe,1,LOW
1,model,buy,behaviour,purchase,2,LOW
1,mother,provide,baby,leave,2,LOW
1,mother,provide,baby,supply,7,HIGH
1,parent,draw,line,attract,1,LOW
1,parent,draw,line,depict,5,HIGH
1,patient,accept,treatment,bear,5,HIGH
1,patient,accept,treatment,receive,6,HIGH
1,patient,draw,figure,attract,3,LOW
1,service,meet,need,satisfy,6,HIGH
1,school,provide,education,supply,7,HIGH
1,scholar,write,book,spell,2,LOW
1,table,show,result,express,7,HIGH
1,firm,buy,politician,bribe,6,HIGH
1,figure,show,increase,picture,7,HIGH
1,weapon,buy,chance,bribe,1,LOW
1,family,run,hotel,move,1,LOW
1,family,provide,home,supply,7,HIGH
1,figure,show,increase,express,7,LOW
1,family,run,hotel,operate,7,HIGH
1,employer,provide,training,leave,1,LOW
1,employee,buy,property,purchase,7,HIGH
1,family,provide,home,leave,1,LOW
1,employer,provide,training,supply,7,HIGH
1,service,meet,need,visit,3,LOW
1,shareholder,accept,offer,bear,3,LOW
1,shareholder,accept,offer,receive,4,HIGH
1,shiver,run,spine,move,2,HIGH
1,shiver,run,spine,operate,1,LOW
1,sight,meet,eye,satisfy,1,LOW
1,society,accept,charge,bear,3,LOW
1,society,accept,charge,receive,2,LOW
1,speaker,say,word,allege,1,LOW
1,speaker,say,word,state,7,HIGH
1,table,show,result,picture,6,LOW
1,user,run,application,move,3,LOW
1,spokesman,say,decision,state,7,HIGH
1,spokesman,say,decision,allege,1,HIGH
1,specialist,write,papers,spell,2,LOW
1,specialist,write,papers,publish,1,HIGH
1,student,write,name,spell,4,HIGH
1,student,write,name,publish,1,LOW
1,student,meet,requirement,visit,4,LOW
1,student,meet,requirement,satisfy,6,HIGH
1,study,provide,evidence,supply,7,HIGH
1,study,provide,evidence,leave,4,LOW
1,child,meet,house,satisfy,1,LOW
1,child,draw,picture,depict,6,HIGH
1,beach,meet,standard,satisfy,7,HIGH
1,artist,show,work,picture,5,HIGH
1,artist,show,work,express,2,LOW
1,child,draw,picture,attract,1,LOW
1,boy,meet,girl,visit,5,HIGH
1,boy,meet,girl,satisfy,1,LOW
1,beach,meet,standard,visit,2,LOW
1,sweat,run,face,move,1,HIGH
1,sweat,run,face,operate,1,LOW
1,survey,say,recovery,allege,1,HIGH
1,survey,say,recovery,state,7,HIGH
1,supporter,buy,ticket,bribe,1,LOW
1,supporter,buy,ticket,purchase,7,HIGH
1,study,show,correlation,express,5,HIGH
1,study,show,correlation,picture,4,LOW
1,study,provide,information,leave,1,LOW
1,study,provide,information,supply,7,HIGH
1,company,provide,service,supply,7,HIGH
1,court,try,case,judge,7,HIGH
1,claimant,draw,benefit,depict,2,LOW
1,company,provide,service,leave,1,LOW
1,court,try,offence,test,2,LOW
1,demonstrator,try,building,judge,1,LOW
1,court,try,case,test,2,LOW
1,court,try,offence,judge,7,HIGH
1,demonstrator,try,building,test,3,HIGH
1,employee,buy,property,bribe,1,LOW
1,writer,write,book,spell,3,LOW
2,table,draw,eye,depict,5,LOW
2,table,draw,eye,attract,7,HIGH
2,system,meet,criterion,visit,2,HIGH
2,system,meet,criterion,satisfy,7,HIGH
2,system,meet,requirement,visit,2,LOW
2,system,meet,requirement,satisfy,7,HIGH
2,system,provide,facility,supply,7,HIGH
2,system,provide,facility,leave,3,LOW
2,system,run,application,operate,6,HIGH
2,system,run,application,move,2,LOW
2,woman,draw,hair,depict,6,LOW
2,woman,draw,hair,attract,6,LOW
2,magazine,accept,liability,bear,5,HIGH
2,machine,run,program,operate,6,HIGH
2,machine,run,program,move,2,LOW
2,lawyer,accept,conviction,receive,3,LOW
2,lawyer,accept,conviction,bear,3,LOW
2,justice,try,king,test,3,HIGH
2,justice,try,king,judge,6,LOW
2,judge,try,action,test,3,HIGH
2,male,draw,female,attract,5,HIGH
2,magazine,accept,liability,receive,3,LOW
2,teacher,write,book,spell,5,LOW
2,user,run,application,operate,6,HIGH
2,scholar,write,book,publish,7,HIGH
2,people,try,program,test,6,HIGH
2,people,try,sniffing,judge,4,LOW
2,runway,run,parallel,operate,4,LOW
2,people,say,success,state,7,HIGH
2,people,try,door,judge,4,LOW
2,people,try,door,test,6,HIGH
2,people,try,program,judge,5,LOW
2,people,run,round,operate,5,LOW
2,people,say,prayer,allege,3,LOW
2,people,say,prayer,state,7,LOW
2,people,say,success,allege,3,HIGH
2,government,accept,recommendation,receive,6,HIGH
2,government,provide,cash,leave,4,LOW
2,government,provide,cash,supply,7,HIGH
2,investor,buy,share,bribe,2,LOW
2,firm,buy,politician,purchase,6,LOW
2,government,accept,proposal,bear,2,LOW
2,government,accept,proposal,receive,6,HIGH
2,government,accept,recommendation,bear,3,LOW
2,road,run,parallel,move,4,LOW
2,writer,write,book,publish,7,HIGH
2,investor,buy,share,purchase,7,HIGH
2,judge,try,action,judge,6,HIGH
2,river,meet,sea,visit,5,LOW
2,runway,run,parallel,move,5,LOW
2,school,provide,education,leave,2,LOW
2,road,run,parallel,operate,3,LOW
2,tribunal,try,crime,judge,7,HIGH
2,priest,say,prayer,allege,3,LOW
2,priest,say,mass,state,6,LOW
2,priest,say,mass,allege,3,LOW
2,poll,show,support,picture,6,LOW
2,poll,show,support,express,7,HIGH
2,politician,buy,election,purchase,7,LOW
2,politician,buy,election,bribe,6,HIGH
2,people,write,letter,spell,6,HIGH
2,people,write,letter,publish,6,HIGH
2,people,try,sniffing,test,6,LOW
2,member,accept,share,bear,3,LOW
2,map,show,location,picture,7,HIGH
2,weapon,buy,chance,purchase,6,LOW
2,user,accept,responsibility,receive,6,LOW
2,user,write,word,spell,6,HIGH
2,user,write,word,publish,6,LOW
2,user,write,software,spell,2,LOW
2,user,write,software,publish,6,HIGH
2,man,write,song,publish,4,LOW
2,man,try,experiment,test,7,HIGH
2,management,accept,responsibility,bear,6,HIGH
2,man,write,song,spell,5,LOW
2,map,show,area,express,6,LOW
2,management,accept,responsibility,receive,3,LOW
2,map,show,location,express,7,LOW
2,map,show,area,picture,7,HIGH
2,claimant,draw,benefit,attract,3,HIGH
2,cinema,show,film,picture,4,HIGH
2,teacher,write,book,publish,7,LOW
2,child,show,sign,express,6,LOW
2,child,show,interest,picture,2,LOW
2,child,show,interest,express,4,HIGH
2,child,meet,house,visit,4,HIGH
2,cinema,show,film,express,3,LOW
2,child,write,word,spell,7,HIGH
2,child,write,word,publish,6,LOW
2,child,show,sign,picture,5,HIGH
2,people,buy,product,bribe,2,LOW
2,people,buy,house,purchase,7,HIGH
2,people,buy,house,bribe,2,LOW
2,patient,draw,figure,depict,6,HIGH
2,people,run,company,move,2,LOW
2,people,buy,security,purchase,7,LOW
2,people,buy,security,bribe,3,HIGH
2,people,buy,product,purchase,7,HIGH
2,people,run,round,move,3,HIGH
2,people,run,company,operate,6,HIGH
2,representative,meet,official,visit,6,HIGH
2,river,meet,sea,satisfy,2,LOW
2,tribunal,try,crime,test,3,LOW
2,producer,say,favour,state,7,LOW
2,proposal,draw,criticism,attract,6,HIGH
2,priest,say,prayer,state,7,LOW
2,producer,say,favour,allege,3,HIGH
2,report,draw,attention,depict,2,LOW
2,representative,meet,official,satisfy,2,LOW
2,proposal,draw,criticism,depict,2,LOW
2,report,draw,attention,attract,6,HIGH
2,man,say,success,state,7,HIGH
2,man,try,experiment,judge,3,LOW
2,man,say,sentence,state,7,HIGH
2,man,say,success,allege,3,HIGH
2,man,provide,money,supply,7,HIGH
2,man,say,sentence,allege,2,LOW
2,man,draw,sword,depict,4,LOW
2,man,provide,money,leave,4,HIGH
2,male,draw,female,depict,5,LOW
2,man,draw,sword,attract,2,LOW
2,user,accept,responsibility,bear,6,HIGH
2,member,accept,share,receive,7,HIGH
2,model,buy,behaviour,bribe,2,LOW
2,model,buy,behaviour,purchase,6,LOW
2,mother,provide,baby,leave,4,LOW
2,mother,provide,baby,supply,7,HIGH
2,parent,draw,line,attract,3,LOW
2,parent,draw,line,depict,5,HIGH
2,patient,accept,treatment,bear,5,HIGH
2,patient,accept,treatment,receive,6,HIGH
2,patient,draw,figure,attract,4,LOW
2,service,meet,need,satisfy,7,HIGH
2,school,provide,education,supply,7,HIGH
2,scholar,write,book,spell,5,LOW
2,table,show,result,express,7,HIGH
2,firm,buy,politician,bribe,7,HIGH
2,figure,show,increase,picture,7,HIGH
2,weapon,buy,chance,bribe,5,LOW
2,family,run,hotel,move,2,LOW
2,family,provide,home,supply,7,HIGH
2,figure,show,increase,express,7,LOW
2,family,run,hotel,operate,7,HIGH
2,employer,provide,training,leave,2,LOW
2,employee,buy,property,purchase,7,HIGH
2,family,provide,home,leave,2,LOW
2,employer,provide,training,supply,7,HIGH
2,service,meet,need,visit,3,LOW
2,shareholder,accept,offer,bear,3,LOW
2,shareholder,accept,offer,receive,7,HIGH
2,shiver,run,spine,move,5,HIGH
2,shiver,run,spine,operate,5,LOW
2,sight,meet,eye,satisfy,5,LOW
2,society,accept,charge,bear,5,LOW
2,society,accept,charge,receive,7,LOW
2,speaker,say,word,allege,3,LOW
2,speaker,say,word,state,7,HIGH
2,table,show,result,picture,7,LOW
2,user,run,application,move,2,LOW
2,spokesman,say,decision,state,7,HIGH
2,spokesman,say,decision,allege,2,HIGH
2,specialist,write,papers,spell,6,LOW
2,specialist,write,papers,publish,5,HIGH
2,student,write,name,spell,6,HIGH
2,student,write,name,publish,6,LOW
2,student,meet,requirement,visit,3,LOW
2,student,meet,requirement,satisfy,7,HIGH
2,study,provide,evidence,supply,7,HIGH
2,study,provide,evidence,leave,6,LOW
2,child,meet,house,satisfy,3,LOW
2,child,draw,picture,depict,4,HIGH
2,beach,meet,standard,satisfy,6,HIGH
2,artist,show,work,picture,3,HIGH
2,artist,show,work,express,4,LOW
2,child,draw,picture,attract,2,LOW
2,boy,meet,girl,visit,6,HIGH
2,boy,meet,girl,satisfy,2,LOW
2,beach,meet,standard,visit,2,LOW
2,sweat,run,face,move,4,HIGH
2,sweat,run,face,operate,4,LOW
2,survey,say,recovery,allege,3,HIGH
2,survey,say,recovery,state,6,HIGH
2,supporter,buy,ticket,bribe,3,LOW
2,supporter,buy,ticket,purchase,7,HIGH
2,study,show,correlation,express,7,HIGH
2,study,show,correlation,picture,7,LOW
2,study,provide,information,leave,6,LOW
2,study,provide,information,supply,7,HIGH
2,company,provide,service,supply,7,HIGH
2,court,try,case,judge,7,HIGH
2,claimant,draw,benefit,depict,3,LOW
2,company,provide,service,leave,5,LOW
2,court,try,offence,test,5,LOW
2,demonstrator,try,building,judge,3,LOW
2,court,try,case,test,6,LOW
2,court,try,offence,judge,6,HIGH
2,demonstrator,try,building,test,6,HIGH
2,employee,buy,property,bribe,2,LOW
2,writer,write,book,spell,3,LOW
3,table,draw,eye,depict,1,LOW
3,table,draw,eye,attract,1,HIGH
3,system,meet,criterion,visit,1,HIGH
3,system,meet,criterion,satisfy,7,HIGH
