agent,verb,cong_patient,incong_patient
secretary,address,letter,group
speaker,address,group,letter
composer,arrange,score,shelf
librarian,arrange,shelf,score
contortionist,bend,back,rod
blacksmith,bend,rod,back
teenager,blast,radio,building
soldier,blast,building,radio
skier,break,leg,habit
smoker,break,habit,leg
journalist,check,spelling,brake
mechanic,check,brake,spelling
performer,comb,hair,street
detective,comb,street,hair
patient,complete,form,article
author,complete,article,form
boxer,dodge,punch,truth
politician,dodge,truth,punch
candidate,evade,question,cop
fugitive,evade,cop,question
writer,finish,story,meal
glutton,finish,meal,story
marine,fire,rifle,accountant
boss,fire,accountant,rifle
technician,fix,television,lunch
cook,fix,lunch,television
carpenter,grasp,saw,concept
scholar,grasp,concept,saw
farmer,load,truck,pistol
assassin,load,pistol,truck
mother,name,newborn,accomplice
suspect,name,accomplice,newborn
druglord,operate,cartel,machinery
worker,operate,machinery,cartel
spy,plant,camera,vegetable
gardner,plant,vegetable,camera
woman,pluck,eyebrow,rose
gardner,pluck,rose,eyebrow
chef,prepare,dinner,speech
politician,prepare,speech,dinner
toymaker,produce,puppet,blockbuster
moviemaker,produce,blockbuster,puppet
student,raise,hand,kid
parent,raise,kid,hand
tattletale,report,friend,result
scientist,report,result,friend
pothead,roll,joint,dough
baker,roll,dough,joint
shopper,save,dollar,boy
lifeguard,save,boy,dollar
policeman,shine,light,shoe
butler,shine,shoe,light
gossip,spread,news,butter
caterer,spread,butter,news
child,stuff,month,turkey
cook,stuff,turkey,mouth
player,tie,match,rope
sailor,tie,rope,match
player,toss,frisbee,leftover
housekeeper,toss,leftover,frisbee
grandfather,treat,grandchild,victim
nurse,treat,victim,grandchild
dancer,twist,ankle,cable
electrician,twist,cable,ankle
