verb,noun,role,score
serve,plate,AM-MNR,5.9
serve,tray,AM-MNR,6.5
serve,glass,AM-MNR,4.9
serve,platter,AM-MNR,5.8
serve,bucket,AM-MNR,1.4
sweep,mop,AM-MNR,3.7
sweep,rag,AM-MNR,3.1
sweep,broom,AM-MNR,7
sweep,rake,AM-MNR,3
sweep,brush,AM-MNR,3.7
sweep,rock,AM-MNR,1
write,pen,AM-MNR,6.9
write,keyboard,AM-MNR,4.8
write,thesaurus,AM-MNR,3.8
write,stick,AM-MNR,1.8
write,pencil,AM-MNR,6.8
write,desk,AM-MNR,4.9
write,wire,AM-MNR,1
write,sword,AM-MNR,1
write,box,AM-MNR,1
paint,brush,AM-MNR,6.8
paint,roller,AM-MNR,6.6
paint,straw,AM-MNR,1.4
paint,paint,AM-MNR,7
paint,can,AM-MNR,5.2
paint,sponge,AM-MNR,4.5
paint,rag,AM-MNR,3.9
shoot,gun,AM-MNR,6.8
shoot,straw,AM-MNR,1.5
shoot,rifle,AM-MNR,6.8
shoot,cannon,AM-MNR,4.5
shoot,pistol,AM-MNR,6.5
shoot,tank,AM-MNR,4
shoot,arrow,AM-MNR,5
dust,Kleenex,AM-MNR,3.5
dust,rag,AM-MNR,6.8
dust,sock,AM-MNR,3.2
dust,cloth,AM-MNR,6.2
dust,water,AM-MNR,2.9
dust,beer,AM-MNR,1.1
cut,knife,AM-MNR,6.6
cut,paper,AM-MNR,3
cut,fork,AM-MNR,2.5
cut,saw,AM-MNR,5.9
cut,scissors,AM-MNR,7
cut,teeth,AM-MNR,3.7
cut,razor,AM-MNR,4.6
eat,fork,AM-MNR,6.7
eat,toothpick,AM-MNR,2.1
eat,knife,AM-MNR,6.3
eat,pliers,AM-MNR,1
eat,spoon,AM-MNR,6.3
eat,cup,AM-MNR,3.3
eat,napkin,AM-MNR,3.8
draw,pen,AM-MNR,5.6
draw,marker,AM-MNR,5.8
draw,paper,AM-MNR,6.3
draw,stapler,AM-MNR,1.2
draw,glue,AM-MNR,1.2
draw,crayon,AM-MNR,5.7
draw,pencil,AM-MNR,6.8
hunt,rocks,AM-MNR,1.5
hunt,rifle,AM-MNR,6.7
hunt,harpoon,AM-MNR,5.2
hunt,net,AM-MNR,5.2
hunt,box,AM-MNR,2.1
hunt,gun,AM-MNR,6.7
hunt,missile,AM-MNR,1.4
measure,protractor,AM-MNR,5.1
measure,string,AM-MNR,2.8
measure,scale,AM-MNR,5.8
measure,ruler,AM-MNR,6.8
measure,balance,AM-MNR,5.2
measure,stick,AM-MNR,1.7
measure,pencil,AM-MNR,3.2
cure,medicine,AM-MNR,6.9
cure,herbs,AM-MNR,5.4
cure,therapy,AM-MNR,5.9
cure,kiss,AM-MNR,3.3
cure,acupuncture,AM-MNR,4
cure,food,AM-MNR,3.9
cure,sauna,AM-MNR,2
float,boat,AM-MNR,6.4
float,raft,AM-MNR,6.2
float,chair,AM-MNR,1.5
float,wood,AM-MNR,3.5
float,canoe,AM-MNR,5.8
float,tube,AM-MNR,5.3
float,air,AM-MNR,4.7
hit,fist,AM-MNR,6.8
hit,water,AM-MNR,1.7
hit,bat,AM-MNR,5.9
hit,pillow,AM-MNR,3.8
hit,stick,AM-MNR,3.8
hit,hammer,AM-MNR,5.2
hit,apple,AM-MNR,1.8
hit,towel,AM-MNR,2.2
revive,slap,AM-MNR,4.7
