verb,noun,role,score
serve,library,location,2.4
serve,restaurant,location,7
serve,hospital,location,5.1
sweep,living room,location,2.3
sweep,bathroom,location,4.8
sweep,restaurant,location,6.1
sweep,kitchen,location,6.8
sweep,barn,location,4.6
sweep,theatre,location,4.7
act,stage,location,6.9
act,school,location,5.1
act,work,location,2.9
act,theater,location,6.9
act,party,location,4.1
act,gymnasium,location,3.7
act,playground,location,2.9
examine,hospital,location,6.9
examine,office,location,4.7
examine,laboratory,location,6.8
examine,school,location,5.2
examine,court,location,5.9
examine,bank,location,3.8
gamble,bar,location,4.3
gamble,racetrack,location,6.8
gamble,casino,location,7
gamble,hotel,location,3.5
gamble,party,location,3.5
gamble,mall,location,2
gamble,airport,location,1.8
gamble,arena,location,3.8
drive,highway,location,7
drive,racetrack,location,6.2
drive,rink,location,2.8
drive,sidewalk,location,2.1
drive,ditch,location,1.7
drive,field,location,3.7
hunt,forest,location,6.9
hunt,lake,location,4.3
hunt,backyard,location,2.2
hunt,ocean,location,3.2
hunt,swamp,location,3.5
hunt,meadow,location,4.1
hunt,garden,location,2
browse,store,location,6.9
browse,classroom,location,2.5
browse,library,location,6.2
browse,gallery,location,6.8
browse,museum,location,6.6
browse,bar,location,3.2
bury,sandbox,location,6.3
bury,concrete,location,2.9
bury,the ground,location,6.1
bury,cemetery,location,7
bury,dump,location,4.8
bury,subway,location,1.4
mingle,party,location,6.9
mingle,mall,location,4.3
mingle,office,location,4
mingle,bar,location,6.7
mingle,graduation,location,6.2
mingle,wedding,location,6.4
marry,house,location,4.4
marry,church,location,7
marry,island,location,3.7
marry,backyard,location,4.8
marry,prison,location,1.4
marry,brewery,location,1
applaud,classroom,location,4.3
applaud,concert,location,6.9
applaud,restaurant,location,2
applaud,playground,location,2
applaud,theater,location,6.9
applaud,arena,location,6.3
applaud,stadium,location,6.7
applaud,convention,location,5.5
beg,school,location,3.8
beg,street,location,5.6
beg,prison,location,4.6
beg,court,location,5.3
beg,sidewalk,location,4.4
beg,church,location,2.9
beg,casino,location,3.5
testify,office,location,2.5
testify,courtroom,location,7
testify,police station,location,5.8
testify,classroom,location,2.5
testify,planetarium,location,1.4
testify,store,location,1.4
testify,jail,location,3.3
wait,hospital,location,6.3
wait,restaurant,location,6.2
wait,office,location,5
wait,school,location,3.5
wait,lineup,location,7
wait,bedroom,location,1.6
swim,bathtub,location,2.3
swim,lake,location,6.7
swim,pool,location,7
swim,puddle,location,1.2
swim,ocean,location,6.6
swim,beach,location,6.2
swim,desert,location,1
swim,swamp,location,1.5
swim,creek,location,2.9
pray,temple,location,6.8
pray,church,location,7
pray,casino,location,4.2
pray,school,location,4.1
pray,cemetery,location,6
pray,kitchen,location,2.2
pray,theatre,location,1.5
confess,church,location,6.9
confess,school,location,4.2
confess,court,location,6
confess,office,location,3
confess,studio,location,1.7
confess,hearing,location,5.3
confess,jail,location,3.8
sleep,bathtub,location,2.2
sleep,tent,location,5.9
sleep,bedroom,location,7
sleep,hotel,location,6.3
sleep,chair,location,4.6
sleep,car,location,4.1
sleep,trailer,location,5.6
sleep,concert,location,1.5
wash,lake,location,4
wash,bathroom,location,7
wash,laundromat,location,4.9
wash,puddle,location,1.2
wash,pool,location,2.5
wash,factory,location,2.5
wash,hospital,location,5.6
run,house,location,2.8
run,track,location,6.9
run,treadmill,location,6.8
run,gymnasium,location,6.4
run,sidewalk,location,5.5
run,road,location,5.2
run,restaurant,location,1.3
fish,ocean,location,6.4
fish,lake,location,6.8
fish,pool,location,1.1
fish,puddle,location,1
fish,pond,location,5
fish,river,location,6.2
fish,swamp,location,2.5
weigh,supermarket,location,6.7
weigh,bathroom,location,6.4
weigh,gymnasium,location,5.7
weigh,hospital,location,5.5
weigh,restaurant,location,3.6
weigh,sauna,location,2.5
weigh,bar,location,1.6
weigh,classroom,location,2.6
weigh,delicatessen,location,6.3
rescue,lake,location,5.9
rescue,tree,location,4.8
rescue,house,location,4.9
rescue,park,location,3.9
rescue,cave,location,3.8
rescue,mine,location,4.4
rescue,ocean,location,4.8
rescue,battlefield,location,6
rescue,prison,location,2.8
exercise,car,location,1.4
exercise,gymnasium,location,7
exercise,house,location,5.1
exercise,school,location,4.9
exercise,track,location,6.9
exercise,stadium,location,4.4
exercise,campground,location,3.5
study,mall,location,1.6
study,library,location,6.9
study,bank,location,1.5
study,gymnasium,location,2.1
study,car,location,2.5
study,office,location,4.4
study,bedroom,location,5.8
study,dormitory,location,5.7
study,classroom,location,6.2
escape,hospital,location,3.4
escape,prison,location,4.3
escape,school,location,3.5
escape,resort,location,2.7
escape,gymnasium,location,2.3
escape,campground,location,2.5
deposit,library,location,4.7
deposit,bank,location,7
deposit,hospital,location,3.4
deposit,store,location,3.2
deposit,instabank,location,6.2
deposit,hotel,location,4.2
deposit,kitchen,location,2.3
mourn,party,location,1.6
mourn,funeral,location,7
mourn,wedding,location,2.2
mourn,bank,location,1.8
mourn,cemetery,location,6.8
mourn,temple,location,5.6
mourn,theatre,location,2
worship,theater,location,1.6
worship,chapel,location,6.7
worship,school,location,2.9
worship,bar,location,1.4
worship,temple,location,6.8
worship,cemetery,location,4.3
eat,restaurant,location,7
eat,kitchen,location,7
eat,pub,location,4.9
eat,delicatessen,location,5.3
eat,stadium,location,4.7
eat,lobby,location,2.6
eat,bedroom,location,3.5
shower,gymnasium,location,4.8
shower,bathroom,location,6.9
shower,pool,location,2.3
shower,field,location,1.2
shower,sauna,location,2.2
shower,cottage,location,4.3
cook,kitchen,location,7
cook,restaurant,location,6.8
cook,trailer,location,5
cook,mall,location,3.2
cook,campground,location,4.9
cook,cabin,location,5.2
cook,tent,location,2.2
sell,store,location,7
sell,street,location,5.4
sell,market,location,6.6
sell,mall,location,6.9
sell,arena,location,4.9
sell,driveway,location,2.5
sell,pub,location,6.2
sell,desert,location,1.1
preach,ghetto,location,2.5
preach,airport,location,2.3
preach,church,location,7
preach,synagogue,location,6.7
preach,street,location,3.2
preach,classroom,location,4.8
preach,courtroom,location,4.4
skate,backyard,location,3
skate,park,location,4.8
skate,pond,location,4.4
skate,rink,location,7
skate,arena,location,7
skate,lake,location,4.3
skate,schoolyard,location,2.3
stroll,countryside,location,6.4
stroll,park,location,6.8
stroll,forest,location,5.6
stroll,highway,location,1.3
stroll,field,location,4.3
stroll,riverbank,location,4.9
stroll,bathroom,location,1.1
dance,auditorium,location,5.3
dance,bar,location,5.8
dance,ballroom,location,7
dance,kitchen,location,2.6
dance,stage,location,5.4
dance,gymnasium,location,4.4
dance,shower,location,2.2
urinate,backyard,location,3.3
urinate,bathroom,location,7
urinate,mall,location,4.1
urinate,forest,location,4.3
urinate,field,location,3.5
urinate,lobby,location,1.4
urinate,bank,location,1.4
draw,classroom,location,6.2
draw,museum,location,4.1
draw,park,location,3.8
draw,beach,location,3.7
draw,studio,location,6.5
draw,cliff,location,2.6
draw,lake,location,2.8
